Year;Province;Pop;UnempRate;GDP;CPI;RailToBeijing;RailToTianjin;RailToHebei;RailToShanxi;RailToInnerMongolia;RailToLiaoning;RailToJilin;RailToHeilongjiang;RailToShanghai;RailToJiangsu;RailToZhejiang;RailToAnhui;RailToFujian;RailToJiangxi;RailToShandong;RailToHenan;RailToHubei;RailToHunan;RailToGuangdong;RailToGuangxi;RailToHainan;RailToChongqing;RailToSichuan;RailToGuizhou;RailToYunnan;RailToTibet;RailToShaanxi;RailToGansu;RailToQinghai;RailToNingxia;RailToXinjiang;Rail_Total
1995;Jiangsu;70.66;2.1;5155.3;115.8;50;37;73;72;29;110;62;75;453;1577;345;317;110;74;213;205;40;47;95;35;0;0;73;16;40;0;98;69;43;11;45;4414
1995;Zhejiang;43.70;3.2;3557.6;116.6;21;16;36;15;11;48;19;38;247;41;831;34;53;136;50;23;20;87;45;21;0;0;41;10;19;0;16;12;3;3;18;1914
1995;Anhui;60.00;3.1;1810.6;114.8;20;16;37;26;14;43;25;30;362;988;342;2580;192;103;66;40;8;18;44;20;0;0;13;6;6;0;20;12;4;1;10;5046
1995;Fujian;32.27;2.6;2094.9;115.2;45;17;41;18;10;51;24;43;82;130;256;52;1281;98;49;33;34;62;10;9;0;0;27;10;24;0;19;13;3;3;12;2456
1995;Jiangxi;40.63;2.1;1169.7;116.9;6;3;19;6;2;11;5;7;91;93;442;58;249;1329;35;19;31;99;114;63;0;0;26;12;11;0;8;3;1;1;3;2747
1995;Shandong;87.05;3.2;4953.4;117.6;360;108;383;292;91;166;144;235;295;780;459;399;95;165;4437;212;86;101;100;56;0;0;53;15;16;0;74;58;19;19;42;9260
1995;Henan;91.00;2.6;2988.4;116.5;109;90;118;124;47;116;66;57;126;935;169;325;54;241;290;2328;2540;606;503;308;0;0;177;24;40;0;114;55;21;12;27;9622
1995;Hubei;57.72;3.1;2109.4;120.0;36;34;168;114;19;56;20;57;29;83;61;55;77;93;148;411;1458;195;293;143;0;0;193;58;68;0;74;17;8;2;15;3985
1995;Hunan;63.92;3.8;2132.1;119.0;22;33;70;25;10;47;15;25;30;41;78;22;57;59;45;135;226;2056;1341;376;0;0;84;43;46;0;43;14;3;4;11;4961
1995;Guangdong;73.87;2.6;5933.1;114.0;151;70;187;62;29;180;61;108;80;114;134;31;11;47;149;189;271;498;1232;319;0;0;341;236;333;0;105;36;7;8;41;5030
1995;Guangxi;45.43;3.6;1497.6;118.4;25;22;76;32;10;45;14;26;52;62;87;45;25;49;45;95;67;166;445;1009;0;0;141;65;46;0;15;5;1;2;6;2678
1995;Hainan;7.24;4.2;363.3;113.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;0;0;0;0;0;0;0;0;0;0;279
1995;Chongqing;30.02;;1123.1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1995;Sichuan;91.61;3.7;2443.2;118.5;47;75;72;51;15;54;16;33;65;144;59;46;26;35;79;124;351;68;211;171;0;0;4480;166;232;0;149;91;25;18;45;6948
1995;Guizhou;35.08;5.8;636.2;121.4;6;32;45;16;3;24;1;2;17;39;26;9;17;17;21;21;48;111;319;307;0;0;340;1117;104;0;6;2;1;0;5;2656
1995;Yunnan;39.90;2.9;1222.2;121.3;11;22;54;20;7;20;9;13;44;43;64;11;21;38;31;59;30;48;152;146;0;0;167;41;1293;0;53;30;5;3;13;2448
1995;Tibet;2.40;;56.1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1995;Shaanxi;35.13;3.5;1036.9;119.0;12;27;28;49;9;15;3;7;61;632;50;50;18;50;26;106;297;40;71;24;0;0;180;10;22;0;1396;63;16;8;24;3294
1995;Gansu;24.38;5.5;557.8;119.8;14;63;33;24;40;29;6;13;30;87;39;15;22;7;31;88;35;25;63;12;0;0;233;13;36;0;160;1353;143;63;89;2766
1995;Qinghai;4.81;7.4;167.8;118.0;2;18;9;19;4;13;4;3;5;18;8;5;5;3;14;46;10;13;10;13;0;0;40;3;7;0;41;67;145;3;4;532
1995;Ningxia;5.12;6.4;175.2;117.1;39;111;31;8;71;97;8;6;4;12;5;3;5;1;11;5;17;4;11;1;0;0;15;1;3;0;86;476;34;478;5;1548
1995;Xinjiang;16.61;3.5;814.9;119.7;25;58;50;37;14;17;6;8;22;46;32;5;8;4;37;198;12;10;46;4;0;0;107;3;23;0;86;778;22;28;608;2294
1996;Beijing;12.59;0.6;1789.2;111.6;967;394;442;93;28;96;25;41;41;84;35;15;20;9;95;94;45;41;100;19;0;0;67;11;15;0;30;16;5;9;14;2851
1996;Tianjin;8.98;1.0;1121.9;109.0;216;384;303;114;57;78;44;64;27;54;23;11;22;11;43;70;34;20;65;13;0;0;34;6;12;0;40;24;10;11;55;1845
1996;Hebei;64.84;1.9;3453.0;107.1;1630;1278;4590;402;308;476;107;148;123;395;169;45;52;33;438;283;181;98;209;80;0;0;115;13;25;0;43;33;15;20;25;11334
1996;Shanxi;31.09;1.7;1292.1;107.9;1791;2929;8967;2358;311;1491;168;70;225;1836;320;368;133;144;2727;836;798;296;178;145;0;0;96;6;5;0;94;58;17;15;16;26398
1996;InnerMongolia;23.07;3.9;1023.1;107.6;115;854;1195;173;3030;923;542;1103;31;115;40;22;12;12;238;104;41;32;45;25;0;0;30;4;4;0;29;57;25;100;9;8910
1996;Liaoning;40.57;3.6;3157.7;107.9;198;365;442;164;342;8548;846;689;68;168;78;46;25;25;210;184;64;80;101;50;0;0;137;14;19;0;37;31;15;14;25;12985
1996;Jilin;25.79;2.2;1346.8;107.2;133;125;222;64;130;1174;2726;496;80;106;63;27;22;24;190;95;56;64;105;58;0;0;123;11;18;0;16;10;2;4;9;6153
1996;Heilongjiang;37.28;3.0;2370.5;107.1;207;277;475;128;204;2861;1896;6444;44;169;44;32;20;18;334;144;35;44;78;22;0;0;64;7;17;0;26;16;2;14;10;13632
1996;Shanghai;13.04;2.6;2957.6;109.2;51;25;42;20;9;41;40;39;100;78;182;46;59;92;68;62;41;37;50;27;0;0;71;16;33;0;42;18;5;5;18;1317
1996;Jiangsu;71.10;2.3;6004.2;109.3;40;32;73;75;24;92;50;65;410;1621;364;360;95;60;213;194;39;50;96;34;0;0;77;19;41;0;94;51;25;10;55;4359
1996;Zhejiang;44.00;3.0;4188.5;107.9;18;13;31;12;10;44;20;34;245;42;827;33;68;153;52;20;20;95;41;21;0;0;44;11;21;0;15;11;4;3;20;1928
1996;Anhui;60.54;3.1;2093.3;109.9;11;12;25;21;11;37;19;21;305;1054;343;2777;190;84;72;49;11;17;28;15;0;0;14;6;7;0;17;8;5;1;10;5170
1996;Fujian;32.61;2.4;2484.3;105.9;42;18;43;20;10;52;26;44;80;112;306;51;1237;104;57;38;43;89;11;8;0;0;25;8;19;0;21;12;5;4;15;2500
